Downloading 12378 live assets/images...
  assets 100/12378; ok=99 errors=1
  assets 200/12378; ok=199 errors=1
  assets 300/12378; ok=299 errors=1
  assets 400/12378; ok=399 errors=1
  assets 500/12378; ok=499 errors=1
  assets 600/12378; ok=599 errors=1
  assets 700/12378; ok=699 errors=1
  assets 800/12378; ok=798 errors=2
  assets 900/12378; ok=898 errors=2
  assets 1000/12378; ok=998 errors=2
  assets 1100/12378; ok=1098 errors=2
  assets 1200/12378; ok=1198 errors=2
  assets 1300/12378; ok=1298 errors=2
  assets 1400/12378; ok=1398 errors=2
  assets 1500/12378; ok=1498 errors=2
  assets 1600/12378; ok=1598 errors=2
  assets 1700/12378; ok=1698 errors=2
  assets 1800/12378; ok=1798 errors=2
  assets 1900/12378; ok=1897 errors=3
  assets 2000/12378; ok=1997 errors=3
  assets 2100/12378; ok=2097 errors=3
  assets 2200/12378; ok=2197 errors=3
  assets 2300/12378; ok=2297 errors=3
  assets 2400/12378; ok=2397 errors=3
  assets 2500/12378; ok=2497 errors=3
  assets 2600/12378; ok=2597 errors=3
  assets 2700/12378; ok=2697 errors=3
  assets 2800/12378; ok=2797 errors=3
  assets 2900/12378; ok=2897 errors=3
  assets 3000/12378; ok=2996 errors=4
  assets 3100/12378; ok=3096 errors=4
  assets 3200/12378; ok=3196 errors=4
  assets 3300/12378; ok=3296 errors=4
  assets 3400/12378; ok=3396 errors=4
  assets 3500/12378; ok=3496 errors=4
  assets 3600/12378; ok=3596 errors=4
  assets 3700/12378; ok=3696 errors=4
  assets 3800/12378; ok=3796 errors=4
  assets 3900/12378; ok=3896 errors=4
  assets 4000/12378; ok=3960 errors=40
