Downloading 5549 live wiki pages...
  pages 100/5549; ok=100 errors=0 assets=17
  pages 200/5549; ok=200 errors=0 assets=671
  pages 300/5549; ok=299 errors=1 assets=720
  pages 400/5549; ok=399 errors=1 assets=1131
  pages 500/5549; ok=499 errors=1 assets=1322
  pages 600/5549; ok=599 errors=1 assets=1326
  pages 700/5549; ok=699 errors=1 assets=1326
  pages 800/5549; ok=799 errors=1 assets=1511
  pages 900/5549; ok=899 errors=1 assets=1545
  pages 1000/5549; ok=999 errors=1 assets=1545
  pages 1100/5549; ok=1099 errors=1 assets=1587
  pages 1200/5549; ok=1199 errors=1 assets=1654
  pages 1300/5549; ok=1299 errors=1 assets=5927
  pages 1400/5549; ok=1399 errors=1 assets=5942
  pages 1500/5549; ok=1499 errors=1 assets=5954
  pages 1600/5549; ok=1599 errors=1 assets=5954
  pages 1700/5549; ok=1699 errors=1 assets=6124
  pages 1800/5549; ok=1799 errors=1 assets=6456
  pages 1900/5549; ok=1899 errors=1 assets=6956
  pages 2000/5549; ok=1999 errors=1 assets=6972
  pages 2100/5549; ok=2099 errors=1 assets=7027
  pages 2200/5549; ok=2199 errors=1 assets=7244
  pages 2300/5549; ok=2299 errors=1 assets=7457
  pages 2400/5549; ok=2399 errors=1 assets=7699
  pages 2500/5549; ok=2499 errors=1 assets=7832
  pages 2600/5549; ok=2599 errors=1 assets=7977
  pages 2700/5549; ok=2699 errors=1 assets=8156
  pages 2800/5549; ok=2799 errors=1 assets=8351
  pages 2900/5549; ok=2899 errors=1 assets=8589
  pages 3000/5549; ok=2999 errors=1 assets=8767
  pages 3100/5549; ok=3099 errors=1 assets=8874
  pages 3200/5549; ok=3199 errors=1 assets=8975
  pages 3300/5549; ok=3299 errors=1 assets=9057
  pages 3400/5549; ok=3399 errors=1 assets=9151
  pages 3500/5549; ok=3499 errors=1 assets=9221
  pages 3600/5549; ok=3599 errors=1 assets=9373
  pages 3700/5549; ok=3699 errors=1 assets=9447
  pages 3800/5549; ok=3799 errors=1 assets=9754
  pages 3900/5549; ok=3899 errors=1 assets=9979
  pages 4000/5549; ok=3999 errors=1 assets=10268
  pages 4100/5549; ok=4099 errors=1 assets=10361
  pages 4200/5549; ok=4199 errors=1 assets=10454
  pages 4300/5549; ok=4299 errors=1 assets=10596
  pages 4400/5549; ok=4399 errors=1 assets=10728
  pages 4500/5549; ok=4499 errors=1 assets=10850
  pages 4600/5549; ok=4599 errors=1 assets=11020
  pages 4700/5549; ok=4699 errors=1 assets=11178
  pages 4800/5549; ok=4799 errors=1 assets=11338
  pages 4900/5549; ok=4899 errors=1 assets=11471
  pages 5000/5549; ok=4999 errors=1 assets=11555
  pages 5100/5549; ok=5099 errors=1 assets=11759
  pages 5200/5549; ok=5199 errors=1 assets=11811
  pages 5300/5549; ok=5299 errors=1 assets=11930
  pages 5400/5549; ok=5399 errors=1 assets=12185
  pages 5500/5549; ok=5499 errors=1 assets=12368
  pages 5549/5549; ok=5548 errors=1 assets=12376
