MSH FILE,MSH NAME,LOD,CATEGORY,ANIMATIONS
base_light.msh,,0,UNK,
blk_01_0.msh,,0,UNK,
blk_02_0.msh,,0,UNK,
blk_03_0.msh,,0,UNK,
blk_04_0.msh,,0,UNK,
blk_05_0.msh,,0,UNK,
blk_06_0.msh,,0,UNK,
blk_07_0.msh,,0,UNK,
blk_08_0.msh,,0,UNK,
blk_09_0.msh,,0,UNK,
c_admpart_0.msh,,0,NPC,
c_ashwraith_0.msh,Ashwraith,0,NPC,c_ash.abilities c_ash.ablts_2 c_ash.appr c_ash.atk_v1 c_ash.atk_v2 c_ash.atk_v3 c_ash.com_v1 c_ash.crnf c_ash.cwkb c_ash.cwkf c_ash.cwkfl c_ash.cwkfr c_ash.d_cst c_ash.d_cst_lp c_ash.d_end c_ash.d_lp c_ash.d_strt c_ash.dazed c_ash.die_lp_v1 c_ash.die_v1 c_ash.dmg_v1 c_ash.electr c_ash.enter c_ash.exit c_ash.hv_dmg c_ash.k_bk c_ash.kd_enter c_ash.kd_exit c_ash.kd_lp c_ash.p c_ash.rdy c_ash.tal_whrl c_ash.wkf
c_ashwraith_2.msh,Ashwraith,2,NPC,c_ash.abilities c_ash.ablts_2 c_ash.appr c_ash.atk_v1 c_ash.atk_v2 c_ash.atk_v3 c_ash.com_v1 c_ash.crnf c_ash.cwkb c_ash.cwkf c_ash.cwkfl c_ash.cwkfr c_ash.d_cst c_ash.d_cst_lp c_ash.d_end c_ash.d_lp c_ash.d_strt c_ash.dazed c_ash.die_lp_v1 c_ash.die_v1 c_ash.dmg_v1 c_ash.electr c_ash.enter c_ash.exit c_ash.hv_dmg c_ash.k_bk c_ash.kd_enter c_ash.kd_exit c_ash.kd_lp c_ash.p c_ash.rdy c_ash.tal_whrl c_ash.wkf
c_ashwraith_3.msh,Ashwraith,3,NPC,c_ash.abilities c_ash.ablts_2 c_ash.appr c_ash.atk_v1 c_ash.atk_v2 c_ash.atk_v3 c_ash.com_v1 c_ash.crnf c_ash.cwkb c_ash.cwkf c_ash.cwkfl c_ash.cwkfr c_ash.d_cst c_ash.d_cst_lp c_ash.d_end c_ash.d_lp c_ash.d_strt c_ash.dazed c_ash.die_lp_v1 c_ash.die_v1 c_ash.dmg_v1 c_ash.electr c_ash.enter c_ash.exit c_ash.hv_dmg c_ash.k_bk c_ash.kd_enter c_ash.kd_exit c_ash.kd_lp c_ash.p c_ash.rdy c_ash.tal_whrl c_ash.wkf
c_berkbear_0.msh,Bereskarn,0,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
c_berkbear_2.msh,Bereskarn,2,NPC,c_beara.amb_feed c_beara.atk_v1 c_beara.atk_v2 c_beara.atk_v3 c_beara.bdmg c_beara.choke c_beara.com_v1 c_beara.com_v2 c_beara.com_v3 c_beara.cwkb c_beara.cwkbl c_beara.cwkbr c_beara.cwkf c_beara.cwkfl c_beara.cwkfr c_beara.dazed c_beara.dblw_dmg_lp c_beara.dblw_dmg_v1 c_beara.dblw_lp_v1 c_beara.die_v3 c_beara.dieloop c_beara.dmg_v1 c_beara.electr c_beara.enter c_beara.en_v1 c_beara.exit c_beara.hv_dmg c_beara.kd_bk c_beara.kd_enter c_beara.kd_exit c_beara.kd_lp c_beara.p c_beara.p_rst
